riskyGain 10.00, riskyLoss -4.76, safe, 0.00, loc, 2, choice, 1, outcome, 10.00, RT, 1.04, ISI, 1, ITI, 2, trial, 1, block, 1, triBlock, 1
riskyGain 7.00, riskyLoss -1.52, safe, 0.00, loc, 1, choice, 1, outcome, -1.52, RT, 0.70, ISI, 1, ITI, 1, trial, 2, block, 1, triBlock, 2
riskyGain 8.00, riskyLoss -1.25, safe, 0.00, loc, 2, choice, 1, outcome, -1.25, RT, 0.55, ISI, 1, ITI, 1, trial, 3, block, 1, triBlock, 3
riskyGain 2.00, riskyLoss -0.29, safe, 0.00, loc, 2, choice, 1, outcome, -0.29, RT, 0.55, ISI, 1, ITI, 1, trial, 4, block, 1, triBlock, 4
riskyGain 15.64, riskyLoss 0.00, safe, 8.18, loc, 1, choice, 1, outcome, 15.64, RT, 1.74, ISI, 1, ITI, 1, trial, 5, block, 1, triBlock, 5
riskyGain 2.00, riskyLoss -1.54, safe, 0.00, loc, 1, choice, 1, outcome, -1.54, RT, 1.03, ISI, 1, ITI, 2, trial, 6, block, 1, triBlock, 6
riskyGain 10.00, riskyLoss -9.09, safe, 0.00, loc, 2, choice, 0, outcome, 0.00, RT, 0.57, ISI, 1, ITI, 2, trial, 7, block, 1, triBlock, 7
riskyGain 21.39, riskyLoss 0.00, safe, 13.31, loc, 2, choice, 1, outcome, 0.00, RT, 0.43, ISI, 1, ITI, 3, trial, 8, block, 1, triBlock, 8
riskyGain 2.00, riskyLoss -0.80, safe, 0.00, loc, 1, choice, 1, outcome, -0.80, RT, 0.34, ISI, 1, ITI, 3, trial, 9, block, 1, triBlock, 9
riskyGain 25.47, riskyLoss 0.00, safe, 11.27, loc, 1, choice, 0, outcome, 11.27, RT, 0.39, ISI, 1, ITI, 2, trial, 10, block, 1, triBlock, 10
riskyGain 12.00, riskyLoss -4.29, safe, 0.00, loc, 2, choice, 1, outcome, -4.29, RT, 0.47, ISI, 1, ITI, 1, trial, 11, block, 1, triBlock, 11
riskyGain 27.06, riskyLoss 0.00, safe, 10.47, loc, 1, choice, 1, outcome, 0.00, RT, 0.53, ISI, 1, ITI, 3, trial, 12, block, 1, triBlock, 12
riskyGain 5.00, riskyLoss -2.08, safe, 0.00, loc, 1, choice, 1, outcome, 5.00, RT, 0.69, ISI, 1, ITI, 2, trial, 13, block, 1, triBlock, 13
riskyGain 5.00, riskyLoss -0.50, safe, 0.00, loc, 1, choice, 1, outcome, -0.50, RT, 0.61, ISI, 1, ITI, 2, trial, 14, block, 1, triBlock, 14
riskyGain 10.00, riskyLoss -2.70, safe, 0.00, loc, 2, choice, 1, outcome, -2.70, RT, 0.40, ISI, 1, ITI, 3, trial, 15, block, 1, triBlock, 15
riskyGain 2.00, riskyLoss -0.87, safe, 0.00, loc, 2, choice, 1, outcome, 2.00, RT, 0.45, ISI, 1, ITI, 1, trial, 16, block, 1, triBlock, 16
riskyGain 12.00, riskyLoss -6.00, safe, 0.00, loc, 2, choice, 1, outcome, 12.00, RT, 0.65, ISI, 1, ITI, 1, trial, 17, block, 1, triBlock, 17
riskyGain 13.73, riskyLoss 0.00, safe, 9.13, loc, 1, choice, 1, outcome, 13.73, RT, 0.54, ISI, 1, ITI, 2, trial, 18, block, 1, triBlock, 18
riskyGain 7.00, riskyLoss -3.68, safe, 0.00, loc, 1, choice, 1, outcome, 7.00, RT, 0.63, ISI, 1, ITI, 1, trial, 19, block, 1, triBlock, 19
riskyGain 24.82, riskyLoss 0.00, safe, 11.59, loc, 1, choice, 1, outcome, 24.82, RT, 0.63, ISI, 1, ITI, 2, trial, 20, block, 1, triBlock, 20
riskyGain 2.00, riskyLoss -1.18, safe, 0.00, loc, 1, choice, 1, outcome, 2.00, RT, 0.61, ISI, 1, ITI, 2, trial, 21, block, 1, triBlock, 21
riskyGain 2.00, riskyLoss -0.43, safe, 0.00, loc, 1, choice, 1, outcome, 2.00, RT, 0.49, ISI, 1, ITI, 1, trial, 22, block, 1, triBlock, 22
riskyGain 10.00, riskyLoss -5.88, safe, 0.00, loc, 1, choice, 1, outcome, 10.00, RT, 0.53, ISI, 1, ITI, 1, trial, 23, block, 1, triBlock, 23
riskyGain 2.00, riskyLoss -0.65, safe, 0.00, loc, 1, choice, 1, outcome, 2.00, RT, 0.50, ISI, 1, ITI, 3, trial, 24, block, 1, triBlock, 24
riskyGain 14.45, riskyLoss 0.00, safe, 8.78, loc, 2, choice, 1, outcome, 14.45, RT, 0.35, ISI, 1, ITI, 2, trial, 25, block, 1, triBlock, 25
riskyGain 2.00, riskyLoss -0.34, safe, 0.00, loc, 1, choice, 1, outcome, 2.00, RT, 0.40, ISI, 1, ITI, 2, trial, 26, block, 2, triBlock, 1
riskyGain 13.35, riskyLoss 0.00, safe, 1.32, loc, 1, choice, 1, outcome, 13.35, RT, 0.38, ISI, 1, ITI, 2, trial, 27, block, 2, triBlock, 2
riskyGain 8.00, riskyLoss -1.54, safe, 0.00, loc, 1, choice, 1, outcome, 8.00, RT, 0.75, ISI, 1, ITI, 1, trial, 28, block, 2, triBlock, 3
riskyGain 15.15, riskyLoss 0.00, safe, 8.42, loc, 1, choice, 1, outcome, 0.00, RT, 0.47, ISI, 1, ITI, 1, trial, 29, block, 2, triBlock, 4
riskyGain 5.00, riskyLoss -1.25, safe, 0.00, loc, 2, choice, 1, outcome, 5.00, RT, 0.66, ISI, 1, ITI, 3, trial, 30, block, 2, triBlock, 5
riskyGain 12.00, riskyLoss -10.00, safe, 0.00, loc, 1, choice, 0, outcome, 0.00, RT, 0.60, ISI, 1, ITI, 3, trial, 31, block, 2, triBlock, 6
